title,quality_score,quality_category
Ari's Birthday! (again),0.9973045822102425,A
Tom Holland Plays With Puppies While Answering Fan Questions,0.9969765492009451,A
Niall Horan - Too Much To Ask (Acoustic),0.9968738369929289,A
I Read A Letter From My Younger Self,0.9965928615109834,A
WHAT TO LEAVE IN 2017,0.9965510541144467,A
50 FACTS ABOUT ME FROM THE RIVERDALE SET | Madelaine Petsch,0.9962580723036997,A
"Batman's Village of Fools: Gotham, England",0.9961566178236848,A
Crawling (One More Light Live) - Linkin Park,0.9961333585701538,A
James Arthur - Naked,0.995880988562745,A
How I Became The Fresh Prince of Bel-Air | STORYTIME,0.9957314956479255,A
When Your BF Acts Different Around His Friends (ft. The Rock),0.9954841605571348,A
"PRETTYMUCH - 10,000 Hours (Audio)",0.9950890707751565,A
Shawn Mendes In My Blood (Audio),0.9950250494583294,A
Phil is not on fire 9,0.9949081746066776,A
The Broccoli Tree: A Parable,0.99487895716946,A
Shawn Mendes Carpool Karaoke -- #LateLateShawn,0.9947563297587069,A
The Beatles - Something,0.9944631934191099,A
Maze Runner: The Death Cure | Any Ideas Clip | 20th Century FOX,0.9944283485625139,A
ANGRY GRANDPA TRIBUTE VIDEO,0.9940495199859222,A
The German Town That's Literally Breaking Apart,0.9939003337553228,A
Camila Cabello - Something's Gotta Give (Audio),0.9935764503565828,A
"Making the Hulkbuster Part 1-Legs, Huge Hydraulic Legs",0.9935360732917674,A
ASKING MY CRUSH TO FLY TO PARIS FOR DREAM DATE,0.993127072787572,A
Cup Phones - JACK AND DEAN,0.993046744150637,A
Camila Cabello - Live from Youtube,0.9929547991071429,A
'Avengers: Infinity War' Cast Tours Los Angeles w/ James Corden,0.9927732317912987,A
How People Talk About Celebrity Gossip (ft. Alisha Marie),0.9925154852030282,A
AMAs FASHION REVIEW w/ KINGSLEY // Grace Helbig,0.9922093318655263,A
and the day goes on,0.9918614962581116,A
BABY | The Weekly #3 | LIFESTYLE,0.9918161279911476,A
Questions about Concrete Answered - The Basics,0.9917503586800573,A
Game Day Artichoke Dip - You Suck at Cooking (episode 71),0.9916495550992471,A
Nina Nesbitt - Somebody Special (Official Video),0.9916434540389972,A
Why Hold Music Sounds Worse Now,0.9915927674766786,A
"Nick Jonas HEART RATE MONITOR feat. Selena Gomez, Joe Jonas & Jack Black | STRONG LANGUAGE!",0.9914339297480865,A
10 Ways to Tell If You're OBSESSED with Christmas!! Alisha Marie,0.9912412094747265,A
Moving Into a Motorhome,0.991231980977857,A
"Season Five Hot Sauce Lineup, REVEALED | Hot Ones",0.9912256170034258,A
Havana - swing cover | dodie feat. FLASHBACK,0.9911467410247473,A
P!nk Carpool Karaoke,0.9909841225431909,A
What Happens To Your Body When You Start Exercising Regularly,0.9906937394247038,A
Energy Balls - You Suck at Cooking (episode 72),0.99048480320843,A
Chocolate Orange Autumn Cupcakes | Cupcake Jemma,0.9904811353409484,A
Behind the Sketch: Stefon with John Mulaney - SNL,0.9903984206748025,A
OSCARS FASHION REVIEW 2018 // Grace Helbig,0.9903486458177465,A
THOR RAGNAROK Short Film - Grandmaster Moves To Earth (2017) Jeff Goldblum Movie HD,0.9902073000127178,A
DOG TRIES TO WAKE UP SLEEPING PIG,0.9900956284153005,A
Splitting Bullets in 4K,0.9894213395518354,A
NBA Bloopers - The Starters,0.9894106813996317,A
"Rudimental - These Days (ft. Jess Glynne, Macklemore & Dan Caplen)(Official Audio)",0.9892208880201061,A
Steve Aoki x Lauren Jauregui - All Night (Lyric Video) [Ultra Music],0.9890923646552586,A
venting online about a hard part in a video game,0.9889669794652323,A
Spinners,0.9888797846189863,A
Helen Mirren Reunited with Ex-Boyfriend Liam Neeson | The Graham Norton Show,0.9888030455716045,A
Mad Lib Theater with John Cena,0.9887335919647128,A
All of Jim's Best Pranks  - The Office US,0.9886956521739131,A
Ellen Makes 'Friends' with BTS!,0.9885487263379295,A
Sneaking in EVERYWHERE for FREE (Yellow Vest Experiment),0.9881518888996795,A
The Most Difficult Decision Ever,0.9881501937185723,A
Megan Mullally Didn't Notice the Interesting Pattern with Ellen's Roommates,0.9879544947579746,A
Running Through Glass in Slow Motion,0.9877523401375888,A
Two Love Stories,0.9876352395672334,A
best pirate i've ever seen,0.9875709267765469,A
My Everyday Makeup Routine!,0.9874924349404882,A
Binging with Babish: The Wire Special,0.9874432379072063,A
Bruno Mars - Live At The Apollo Theater [Official Trailer] (November 29th on CBS),0.9874090654728596,A
I Invented a Real Gravy Train,0.9871905407069836,A
My Dogs Meet A Cat,0.9868048242314829,A
[OFFICIAL VIDEO] Perfect - Pentatonix,0.9867985404912328,A
FULL FACE OF MAKEUP IM THROWING OUT 2018,0.9867729195391555,A
Clean Bandit - Solo feat. Demi Lovato [Official Video],0.9866925127211049,A
Avicii - Friend Of Mine (Original Video) ft. Vargas & Lagola,0.9866540781872589,A
Camila Cabello - Never Be the Same (Audio),0.9866076880283314,A
The In-Glass Fingerprint Reader: Explained!,0.9865757111118065,A
TEACHING CASEY HOW TO VLOG,0.9864598838046766,A
17 Tonnes of Spinning Glass: Making the World's Largest Telescope,0.9864221364221364,A
Giant Paint Drill in 4K,0.9864014385255113,A
RIP ANGRY GRANDPA,0.986349412154653,A
Dope Tech of CES 2018! [Part 2],0.9863119668220985,A
Mark Ruffalo Reads Hilarious Thirst Tweets,0.9861613461236043,A
STRANGER THINGS: A Bad Lip Reading,0.9857868479358524,A
Binging with Babish: Pies from Waitress,0.9857574578857604,A
MY MAC COSMETICS LAUNCH PARTY VLOG | PatrickStarrr,0.9857032457496137,A
Girlfriend Gives Me A Surprise Makeover!? | Hannah Hart,0.9854751514362013,A
Yellow Labrador dumped after being used for breeding puppies.  Look how happy she is now!,0.9854111405835544,A
The first plant to become a venus fly trap,0.9853920470160455,A
Musical Genre Challenge with Ariana Grande,0.9853524135143453,A
Von Miller Geeks Out Over Spicy Wings | Hot Ones,0.985308106965437,A
Top 5 OnePlus 5T Features!,0.9853015123970139,A
NEVER HAVE I EVER w/ TYLER OAKLEY // Grace Helbig,0.98526736995271,A
James Bay - Delicate (Taylor Swift cover) in the Live Lounge,0.9849090464148789,A
I tried to go to Canada but got stuck in Minneapolis,0.9847588318110536,A
READY PLAYER ONE CEREAL COOKIES ft Joey Graceffa! - NERDY NUMMIES,0.9847447073474471,A
MONA - Kiss Like A Woman (Official Video),0.9846610588817417,A
Dunk of the Year Candidate: Giannis Antetokounmpo Literally HURDLES For the Slam,0.9846214511041009,A
