ID,Severity,State,Timezone,Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Crossing,Stop,Traffic_Signal,Sunrise_Sunset
A-1000199,3,CA,US/Pacific,96.54379516575581,67.04924289422331,31.21462071903163,7.0,False,False,False,Day
A-1001335,3,KY,US/Eastern,86.0,49.0,29.97,6.0,False,False,False,Day
A-1001497,2,NC,US/Eastern,80.0,46.0,30.08,7.0,False,False,False,Day
A-1003704,2,SC,US/Eastern,85.0,65.0,30.15,8.0,False,False,False,Day
A-1004487,2,IL,US/Central,79.67103575401892,44.64103053995636,29.85,7.0,False,False,True,Day
A-1005634,2,PA,US/Eastern,81.0,29.0,29.95,7.0,False,False,False,Day
A-1006127,2,VA,US/Eastern,92.0,71.0,29.77,7.0,True,True,True,Night
A-100639,3,CA,US/Pacific,93.68357432668994,68.40298316382447,31.58638700835162,6.0,False,False,False,Day
A-1006627,2,MN,US/Central,86.34264602474023,45.140631056064954,29.84,8.0,False,False,False,Day
A-1007235,2,CO,US/Mountain,66.31276920907587,45.0,34.048044459120035,7.0,False,False,False,Day
A-1008305,2,NC,US/Eastern,70.0,27.0,30.17,6.0,False,False,False,Day
A-1008428,2,FL,US/Eastern,82.0,61.0,29.77,10.0,False,False,False,Night
A-1008779,3,GA,US/Eastern,88.0,71.0,29.92,5.0,False,False,False,Day
A-1009532,3,CO,US/Mountain,97.52106278347338,70.0,35.03981907662328,6.0,False,False,False,Day
A-1009736,3,CA,US/Pacific,84.41610464043494,37.52971942428261,31.434423991650775,4.0,False,False,False,Day
A-1009874,2,CA,US/Pacific,87.06728620656995,67.27180465875608,31.885953226369196,7.0,False,False,False,Day
A-1010816,2,FL,US/Eastern,76.0,35.0,29.66,7.0,False,False,False,Day
A-1011694,2,TN,US/Central,82.88037766452196,42.71659831631426,29.82,6.0,False,False,False,Day
A-1012471,2,PA,US/Eastern,80.0,35.0,30.0,9.0,False,False,False,Day
A-1012717,2,TN,US/Central,80.9053670650464,52.61021317628307,30.1,7.0,False,False,False,Day
A-1013749,3,MA,US/Eastern,87.0,46.0,30.1,6.0,False,False,False,Day
A-1014178,2,NC,US/Eastern,70.0,40.0,29.9,9.0,False,False,False,Day
A-1015056,2,AL,US/Central,78.19297392053153,39.9257237445562,29.57,7.0,False,False,True,Day
A-1015536,2,WA,US/Pacific,81.76993358665246,55.618540260420936,31.982833498104497,9.0,False,False,True,Day
A-1016289,2,OH,US/Eastern,83.0,64.0,29.76,9.0,False,False,False,Day
A-1017600,2,TN,US/Central,78.91056773243189,25.94100252715278,30.26,9.0,False,False,True,Day
A-1019330,3,MO,US/Central,93.40739959710164,39.86675090212573,30.0,6.0,False,False,False,Day
A-1019478,2,TX,US/Central,88.219440929812,58.28578933097879,30.03,7.0,False,False,True,Day
A-1020014,2,AL,US/Central,90.0325429155577,50.64161513779428,30.17,8.0,False,False,False,Day
A-1020805,3,NY,US/Eastern,80.0,49.0,29.94,6.0,False,False,False,Day
A-1021183,2,NC,US/Eastern,84.0,52.0,30.0,8.0,False,False,False,Night
A-1021202,2,NC,US/Eastern,74.0,59.0,30.25,8.0,False,False,False,Day
A-1021375,2,FL,US/Eastern,82.0,57.0,29.9,8.0,False,False,False,Day
A-1021518,2,SC,US/Eastern,74.0,58.0,29.97,6.0,False,False,False,Day
