created_at,id_str,full_text,favorite_count,retweet_count,user_id_str,user_name,user_screen_name,user_location,user_description,user_friends_count,user_followers_count,hashtags,mentions
Wed Jul 01 16:44:52 +0000 2020,1278368987600936962,RT @funder: Vote Biden. He’ll never side with Putin over America.,0,1900,971161855702913024,POTUS/Sen/House4 Dem,DougHarding7,"Mission Viejo, CA","Vote Blue America, Let’s hire Mark KellyAZ, Sara GideonME, Steve BullockMT, Theresa Greenfield_Iowa & Joe Biden",8180,7536,,funder
Wed Jul 01 16:45:28 +0000 2020,1278369140542255106,Trump-Pence 2020 https://t.co/HAZGfdFMXf,0,0,48153855,Patrick Umbra Political Advisor,umbr52643,PA,"I am Pro-Life, Pro-Peace.",1891,764,,
Wed Jul 01 16:45:56 +0000 2020,1278369258037227521,@realDonaldTrump @NYCMayor Old racist man shakes fist,0,0,827877954965344256,Kara,KP23114,"Pennsylvania, USA",Midwife. Mother. Pissed. trump’s an asshole.,881,232,,NYCMayor|realDonaldTrump
Wed Jul 01 16:45:59 +0000 2020,1278369267935657984,RT @brett_mcgurk: New WH explanation is absurd and alarming. PDB briefer didn’t READ the report on bounties to Trump. So he wasn’t “briefed…,0,12287,275343068,VLR,victorialrudd,,,156,596,,brett_mcgurk
Wed Jul 01 16:46:00 +0000 2020,1278369275661529089,RT @joyce_tyler: @PoliticusSarah @wandainparis @TheRickWilson @MollyJongFast @politicususa @TheRickWilson helped give us Trump by consisten…,0,3,970577438,kim o,kmeeo,Colorado,"""The ignorance of one voter in a democracy impairs the security of all.""-John F Kennedy. #TeamPelosi Liberal Democrat #Biden/Harris2020 TheResistance #BLM😷PRU",14612,14488,,MollyJongFast|PoliticusSarah|TheRickWilson|joyce_tyler|politicususa|wandainparis
Wed Jul 01 16:46:01 +0000 2020,1278369279436632065,RT @SenSanders: How can it be that the United States—with just 4% of the world’s population—accounts for 25% of the world’s coronavirus dea…,0,1676,470404580,LIZ 🌵🇲🇽🌹,SanchezzLizbeth,"Jalisco,Mexico",Democratic Socialist,325,377,,SenSanders
Wed Jul 01 16:46:06 +0000 2020,1278369299602837504,"@realDonaldTrump Remember when you all said words don't hirt and to stop being PC?

Next you'll cry about rhymes hurting your feelings, toughen up snowflake https://t.co/S0nmekOLHz",1,0,1025028831135105024,TheFatCatInTheRedHat,FatCatRedHat,Agrestica,"I'm Fitz the Cat and I'm running for office, even though I'm a political novice!     
Book 1 https://t.co/SB9xUqTPUa

#Resist #BlueWave #ImpeachTrump",753,233,,realDonaldTrump
Wed Jul 01 16:46:07 +0000 2020,1278369301477687297,"RT @donwinslow: THIS IS THE MOST IMPORTANT TWEET YOU WILL SEE TODAY.

PLEASE DO NOT LET IT GET LOST UNDER 100 OTHER EVIL THINGS TRUMP DOES…",0,30427,397029275,K e l v i n,kwizzyr,"Oklahoma City, OK",good morning simulation farmers,776,815,,donwinslow
Wed Jul 01 16:46:12 +0000 2020,1278369325863391243,@realDonaldTrump You need to resign!!!! You are not worthy to be Commander In Chief of The Free World Sir.,1,0,376211696,Anthony Brown,AnthonyBrown49,,,61,11,,realDonaldTrump
Wed Jul 01 18:45:34 +0000 2020,1278399362931068928,"RT @cbouzy: Biden wasn't my first, second, or third choice, but he is the nominee and I will vote for him in November, period. I could be o…",0,328,117461416,SteelPH #AntiFascist #BLM #WearAMask,SteelPH,,"AKA Footman, VeteranFootman. I draw, play video games, and yell a lot for the internet. Truly an idyllic life.",1812,310,,cbouzy
Wed Jul 01 18:45:36 +0000 2020,1278399370459615232,RT @ungerbn103: @TheRickWilson @realDonaldTrump I sense a @realDonaldTrump Trumpertantrum coming on...,0,5,954729946181599233,Lys Marie 🌎🐾🏳️‍🌈🎸🥁🎤,BoundlysWords,"Ocean Shores, WA","*Ally, Advocate 
*Musician, Vocalist, Songwriter & Artist
*Beachcombing Witch
*Gatherer of Rescue Critters
*Pond Rippler
*Fiery Crone",2760,1831,,TheRickWilson|realDonaldTrump|ungerbn103
