keyword,count,party
putin,7,Democratic
america,6,Democratic
like,6,Democratic
want,6,Democratic
need,5,Democratic
know,5,Democratic
american,5,Democratic
state,5,Democratic
barr,5,Democratic
never,4,Democratic
child,4,Democratic
care,4,Democratic
even,4,Democratic
going,4,Democratic
cover,4,Democratic
since,4,Democratic
vote,3,Democratic
number,3,Democratic
year,3,Democratic
public,3,Democratic
country,3,Democratic
look,3,Democratic
part,3,Democratic
united state,3,Democratic
still,3,Democratic
said,3,Democratic
corrupt,3,Democratic
democracy,3,Democratic
much,3,Democratic
potus,3,Democratic
people,3,Democratic
coronavirus,3,Democratic
say,3,Democratic
gone,3,Democratic
make,3,Democratic
republican,3,Democratic
asked,3,Democratic
wear mask,2,Democratic
bullsh,2,Democratic
believe,2,Democratic
nice,2,Democratic
get,2,Democratic
another,2,Democratic
pandemic,2,Democratic
animal,2,Democratic
support,2,Democratic
lying,2,Democratic
problem,2,Democratic
matter,2,Democratic
would,2,Democratic
blame,2,Democratic
someone,2,Democratic
soldier,2,Democratic
stop,2,Democratic
supporter,2,Democratic
thing,2,Democratic
always,2,Democratic
come,2,Democratic
first,2,Democratic
kid,2,Democratic
sway,2,Democratic
right,2,Democratic
defamation,2,Democratic
learn,2,Democratic
constitution,2,Democratic
remember,2,Democratic
many,2,Democratic
poll,2,Democratic
point,2,Democratic
mitch,2,Democratic
mcconnell,2,Democratic
feel,2,Democratic
read,2,Democratic
convention,2,Democratic
paid,2,Democratic
must,2,Democratic
cruz,2,Democratic
hope,2,Democratic
election,2,Democratic
took,2,Democratic
cognitive test,2,Democratic
portland,2,Democratic
city,2,Democratic
street,2,Democratic
control,2,Democratic
trump,2,Democratic
something,2,Democratic
democrat,2,Democratic
immediately,2,Democratic
leave,2,Democratic
power,2,Democratic
rep.,2,Democratic
loses,2,Democratic
1976.,2,Democratic
candidate,2,Democratic
executive order,2,Democratic
dump,2,Democratic
side,1,Democratic
helped,1,Democratic
give,1,Democratic
people,21,Republican
american,15,Republican
know,15,Republican
would,14,Republican
like,14,Republican
america,13,Republican
time,12,Republican
want,12,Republican
today,11,Republican
make,10,Republican
black,10,Republican
democrat,10,Republican
medium,9,Republican
vote,9,Republican
first,9,Republican
racist,8,Republican
many,8,Republican
left,8,Republican
great,8,Republican
said,7,Republican
news,7,Republican
mask,7,Republican
love,7,Republican
right,7,Republican
obama,7,Republican
republican,7,Republican
need,7,Republican
world,7,Republican
going,7,Republican
remember,6,Republican
thank,6,Republican
american people,6,Republican
must,6,Republican
state,6,Republican
country,6,Republican
week,6,Republican
video,6,Republican
year,5,Republican
protect,5,Republican
support,5,Republican
please,5,Republican
barr,5,Republican
wait,5,Republican
life,5,Republican
flag,5,Republican
look,5,Republican
could,5,Republican
campaign,5,Republican
speech,5,Republican
fake news,5,Republican
poll,5,Republican
case,5,Republican
lose,5,Republican
trying,5,Republican
november,5,Republican
care,5,Republican
good,5,Republican
white house,5,Republican
hear,5,Republican
always,5,Republican
history,5,Republican
twitter,5,Republican
supporter,5,Republican
stop,4,Republican
made,4,Republican
interview,4,Republican
say,4,Republican
really,4,Republican
keep,4,Republican
covid-19,4,Republican
number,4,Republican
another,4,Republican
science,4,Republican
also,4,Republican
deep,4,Republican
well,4,Republican
zero,4,Republican
question,4,Republican
lied,4,Republican
saying,4,Republican
come,4,Republican
thing,4,Republican
washington,4,Republican
party,4,Republican
soon,4,Republican
leading,4,Republican
school,4,Republican
trump,4,Republican
believe,4,Republican
problem,4,Republican
think,4,Republican
work,4,Republican
maybe,4,Republican
already,4,Republican
congress,4,Republican
never,4,Republican
even,4,Republican
sentence,4,Republican
election,4,Republican
community,4,Republican
would,3,Both
campaign,3,Both
poll,2,Both
election,2,Both
month,2,Both
spent,2,Both
well,2,Both
back,2,Both
child,2,Both
coronavirus,2,Both
people,2,Both
mean,2,Both
think,2,Both
america,2,Both
mourn,2,Both
lost,2,Both
hide,2,Both
working,2,Both
want,2,Both
everything,2,Both
major,2,Both
much,2,Both
care,2,Both
grassley,1,Both
empathy,1,Both
show,1,Both
going,1,Both
trump,1,Both
premiere,1,Both
hitler,1,Both
logo,1,Both
four,1,Both
away,1,Both
conceding,1,Both
privately,1,Both
behind,1,Both
adviser,1,Both
past,1,Both
week…,1,Both
surely,1,Both
stopped,1,Both
flood,1,Both
hitting,1,Both
saying,1,Both
minor,1,Both
limit,1,Both
always,1,Both
whether,1,Both
grandchild,1,Both
amid,1,Both
pandemic,1,Both
site,1,Both
rushmore,1,Both
speech,1,Both
packed,1,Both
supposed,1,Both
begin,1,Both
2020,1,Both
policy,1,Both
proposal,1,Both
economy,1,Both
take,1,Both
gun,1,Both
confederate,1,Both
statue,1,Both
part,1,Both
couple,1,Both
supporter,1,Both
hateful,1,Both
usual,1,Both
fine,1,Both
wanted,1,Both
martinez,1,Both
like,1,Both
approval,1,Both
rating,1,Both
baahaaa,1,Both
lowest,1,Both
friend,1,Both
daughter,1,Both
died,1,Both
fever,1,Both
could,1,Both
breathe,1,Both
hospital…,1,Both
coming,1,Both
lincoln,1,Both
project,1,Both
motherfucker,1,Both
talk,1,Both
consultant,1,Both
record,1,Both
about…,1,Both
breaking,1,Both
exclusive,1,Both
insider,1,Both
court,1,Both
rejected,1,Both
probably,1,Both
support,1,Both
people,122,None
like,111,None
american,107,None
want,104,None
would,95,None
america,89,None
think,84,None
democrat,78,None
time,76,None
know,70,None
vote,69,None
need,66,None
say,65,None
said,64,None
right,64,None
never,63,None
year,63,None
going,60,None
make,58,None
school,56,None
thing,54,None
republican,54,None
breaking,53,None
many,53,None
campaign,53,None
obama,52,None
case,51,None
country,51,None
election,48,None
even,46,None
back,46,None
still,46,None
world,43,None
today,43,None
much,43,None
medium,43,None
good,42,None
city,42,None
coronavirus,41,None
news,41,None
great,41,None
help,41,None
trump,40,None
take,40,None
black,40,None
supporter,39,None
racist,38,None
support,37,None
million,37,None
could,36,None
russia,36,None
keep,36,None
first,34,None
call,34,None
administration,34,None
stop,33,None
every,33,None
state,33,None
money,33,None
tweet,32,None
voting,32,None
trying,32,None
2020,31,None
voter,31,None
....,31,None
really,31,None
life,31,None
well,31,None
please,30,None
putin,30,None
must,30,None
nothing,30,None
bounty,29,None
pandemic,29,None
anything,29,None
give,29,None
look,29,None
saying,29,None
police,28,None
matter,28,None
woman,28,None
care,28,None
tell,27,None
made,27,None
covid,27,None
nation,27,None
covid-19,27,None
party,27,None
ever,27,None
real,26,None
called,26,None
history,26,None
child,26,None
united state,26,None
thank,26,None
fauci,26,None
death,25,None
national,25,None
also,25,None
reason,25,None
