text,sentiment,
"In Europe and America, artists are exploring the subject of refugees and immigration. from @WSJ https://t.co/oHizRG1Sh7",neutral,
"What is d connection betwn evangelists in Punjab &amp; refugee asylum immigration biz?
https://t.co/docNWWNys6
@HMOIndia @MEAIndia @SushmaSwaraj",neutral,
Does @JustinWelby support open door immigration of economic migrants &amp; Muslims? Why no special case for Christians? https://t.co/MWjLfHkybK,negative,
Agree. What were we before we opened our doors to immigration &amp; refugees? https://t.co/B46KWTVSSf,positive,
"Obama's Syrian Refugee immigration Count tops 100,000 since 2012 https://t.co/3hXSWDXj9O https://t.co/FhKyBjEKMn https://t.co/94IEwdmV2P",positive,
"""If we leave the EU and settle for the Norway option, that would only cut our contribution by a tenth"" https://t.co/Pn5peUrSBS #Brexit",neutral,
"@tomflem That old rumour has been going around the net for years, both for US and Canada. Here's one version: https://t.co/b0qv2T8lpA",neutral,
"Whatever your stance is on immigration, refugees, any of that stuff. You use emotive pictures of people's corpses? You cheapen your argument",negative,
"Immigration Min says 6,000 Syrian Refugees will have arrived in Cda by end of today. 10,700 have been fully processed. Full 25,000 by FebMar",positive,
Defending #immigration Obama says Muslim refugees are like Catholics in 1900 https://t.co/lPN8DQ71sD Try IP https://t.co/RA6WKcqx2T,positive,
Latest Fact Check: How many refugees live in St. Cloud? https://t.co/ZO4x8SlCs8,neutral,
@BernieSanders I think unregulated immigration is the path to disaster in social democracies. Refugees require thorough background checks.,negative,
"Via @nytimes editorial board: ""A Shameful Round-Up of Refugees"" https://t.co/rqNymr8Mz7 #immigration #humanrights",negative,
@markknoller Obama does not have the authority to accept refugees or manipulate immigration. Why do you accept the premise that he does?,negative,
"This is why more #immigrants arrive in #Greece than in #Italy
https://t.co/M39wYIkz5v
#refugees #immigration #syria https://t.co/68vNitgqUX",neutral,
"Pepper spraying won't harm Canada's reputation on refugees, says immigration ... - The Globe and Mail https://t.co/rkHoh7BBya",negative,
So people who don't want immigration and fake refugees are as bad as rapists etc? Astonishing  https://t.co/O2OWTW0JS3,negative,
Germany will suffer from that massive immigration of refugees &amp; Merkel will be impeached as she's responsible of that mess in her country.,negative,
"We need a way to stop the immigration raids
Let's help refugees isn't that what our country is about @POTUS
 #nerdland",positive,
"Germany after the sex attacks: fences are going up and the mood is ugly
https://t.co/7KP5vYVprV
#Cologne #refugees",negative,
7am: Hour 23 of 24 hour walk around NSW Dept Immigration against indefinite detention #6years2long #auspol #refugees https://t.co/sh5cRJAeij,negative,
Immigration Minister John McCallum may cancel all refugees' travel debts #cdnpoli https://t.co/rZr7apYmTp https://t.co/TkLYdP7qpt,positive,
Immigration minister may cancel all refugees' travel debts https://t.co/nzQrwki30F,positive,
@andreastirez Immigration minister John Mccallum : ' Most of them are not men ' https://t.co/JUbTlPHwED,neutral,
"Read up on the #SCOTUS decision, upcoming Senate vote on #refugees, #immigration clips &amp; more with our Week Ahead: https://t.co/FpuScKrvJZ",neutral,
8:30am: Final lap of 24 hour walk around NSW Dept Immigration sets off #6years2long #auspol #refugees https://t.co/oBSajlNb8h,neutral,
Ottawa immigration agencies asking for a week delay on accepting Syrian refugees. More in a few minutes on @ctvottawa #ottnews,negative,
Immigration services group helps 170 Syrian refugees settle in https://t.co/jd55pwJ9E3 https://t.co/KK90s9HpRp,positive,
"#Immigration Fraudsters Target Refugees, South Asians https://t.co/VbQoAcYO87 via @NewCdnMedia #cdnimm #canpoli",negative,
Toronto West Local Immigration Partnership is hosting an Info night for Private Sponsors of Newcomer Refugees https://t.co/dXrQS0Cueh,positive,
https://t.co/RWmWrkeO3U pledges $5.3M to help refugees in Germany @NetHope_org https://t.co/3Yt61S7w1e #philanthropy #immigration,positive,
Immigration New Zealand will today greet 82 Syrian refugees with a powhiri at the Mangere Refugee Resettlement Centre in Auckland.,positive,
"""Let's not delude ourselves: Britain just doesn't care about refugees anymore"": by @DPJHodges 
https://t.co/z7iong7zUF",negative,
One city is scrambling to take in thousands of refugees in the next few weeks https://t.co/u3NzF2BOto via @thisisfusion #immigration,positive,
"Let's not delude ourselves: Britain just doesn't care about refugees anymore | via @Telegraph https://t.co/dNcuTIPSas
Couldn't give a fuck",negative,
"A hotel is their home, for now...a pause in the journey to their Canadian homes @nkeung https://t.co/5z2QL5tXyW https://t.co/KagdwW5yXI",neutral,
"Jeremy Corbyn wants unlimited immigration. ""Refugees"" are just an excuse to grand-stand. #BBCQT",positive,
"Where do our assumptions about immigration and refugees come from and how can personal experience challenge them? 
https://t.co/1WDbyGNwVo",neutral,
Let's not delude ourselves: Britain just doesn't care about refugees anymore - And there is a good reason https://t.co/YKOBCKUuzI,negative,
#AldousHuxley #Immigration #Refugees #Immigrants #Asylum #refugeecrisis #Media #Propaganda https://t.co/YQLa1953Tb,positive,
"Anti-#Immigration Protest Turns Violent In Britain https://t.co/cHo9Qxn6rX

#refugees #antifa #racism https://t.co/Tf0XKT4gZP",negative,
"MT @pwolgin: Asylum seekers must be informed of rights, have access to counsel, &amp; able to make case for protection https://t.co/RC2T9MkiPq",positive,
"Ensuring Due Process Protections for Central American Refugees https://t.co/58owZo66cj 
#RefugeesWelcome #immigrants https://t.co/bAIA171wj5",positive,
"â€œAnyone fleeing persecution &amp; violence has the ability to make a full &amp; fair claim for asylum"" = domestic &amp; intl law https://t.co/b8D78YuRoZ",positive,
