keyword,count,party
putin,7,Democratic
want,6,Democratic
like,6,Democratic
america,6,Democratic
state,5,Democratic
need,5,Democratic
american,5,Democratic
know,5,Democratic
barr,5,Democratic
suppo,4,Democratic
child,4,Democratic
since,4,Democratic
care,4,Democratic
even,4,Democratic
never,4,Democratic
going,4,Democratic
cover,4,Democratic
united state,3,Democratic
said,3,Democratic
year,3,Democratic
potus,3,Democratic
corrupt,3,Democratic
vote,3,Democratic
look,3,Democratic
number,3,Democratic
country,3,Democratic
asked,3,Democratic
much,3,Democratic
public,3,Democratic
gone,3,Democratic
democracy,3,Democratic
coronavirus,3,Democratic
say,3,Democratic
republican,3,Democratic
people,3,Democratic
make,3,Democratic
still,3,Democratic
election,2,Democratic
point,2,Democratic
control,2,Democratic
street,2,Democratic
city,2,Democratic
dump,2,Democratic
hope,2,Democratic
right,2,Democratic
sway,2,Democratic
wear mask,2,Democratic
lying,2,Democratic
problem,2,Democratic
power,2,Democratic
loses,2,Democratic
1976.,2,Democratic
candidate,2,Democratic
thing,2,Democratic
would,2,Democratic
blame,2,Democratic
many,2,Democratic
animal,2,Democratic
poll,2,Democratic
convention,2,Democratic
land,2,Democratic
feel,2,Democratic
rep.,2,Democratic
read,2,Democratic
someone,2,Democratic
mitch,2,Democratic
bullsh,2,Democratic
learn,2,Democratic
must,2,Democratic
executive order,2,Democratic
something,2,Democratic
believe,2,Democratic
took,2,Democratic
cognitive test,2,Democratic
stop,2,Democratic
come,2,Democratic
paid,2,Democratic
defamation,2,Democratic
kid,2,Democratic
matter,2,Democratic
soldier,2,Democratic
mcconnell,2,Democratic
nice,2,Democratic
first,2,Democratic
always,2,Democratic
pandemic,2,Democratic
cruz,2,Democratic
get,2,Democratic
another,2,Democratic
constitution,2,Democratic
remember,2,Democratic
leave,2,Democratic
immediately,2,Democratic
democrat,2,Democratic
hurricane,1,Democratic
hanna,1,Democratic
landfall,1,Democratic
jill,1,Democratic
sending,1,Democratic
prayer,1,Democratic
people,21,Republican
know,15,Republican
like,14,Republican
american,14,Republican
would,14,Republican
america,13,Republican
want,12,Republican
time,12,Republican
suppo,12,Republican
today,11,Republican
democrat,10,Republican
make,10,Republican
black,10,Republican
medium,9,Republican
vote,9,Republican
first,9,Republican
left,8,Republican
many,8,Republican
great,8,Republican
racist,8,Republican
need,7,Republican
right,7,Republican
news,7,Republican
mask,7,Republican
love,7,Republican
republican,7,Republican
going,7,Republican
obama,7,Republican
world,7,Republican
said,7,Republican
country,6,Republican
state,6,Republican
remember,6,Republican
thank,6,Republican
must,6,Republican
week,6,Republican
video,6,Republican
american people,6,Republican
barr,5,Republican
wait,5,Republican
look,5,Republican
twitter,5,Republican
lose,5,Republican
november,5,Republican
case,5,Republican
good,5,Republican
flag,5,Republican
fake news,5,Republican
speech,5,Republican
poll,5,Republican
care,5,Republican
trying,5,Republican
repo,5,Republican
hear,5,Republican
could,5,Republican
year,5,Republican
please,5,Republican
campaign,5,Republican
always,5,Republican
protect,5,Republican
life,5,Republican
white house,5,Republican
made,4,Republican
problem,4,Republican
think,4,Republican
keep,4,Republican
working,4,Republican
congress,4,Republican
sentence,4,Republican
money,4,Republican
federal,4,Republican
lied,4,Republican
soon,4,Republican
washington,4,Republican
crime,4,Republican
also,4,Republican
someone,4,Republican
interview,4,Republican
election,4,Republican
school,4,Republican
question,4,Republican
last,4,Republican
really,4,Republican
saying,4,Republican
stop,4,Republican
covid-19,4,Republican
number,4,Republican
christian,4,Republican
say,4,Republican
never,4,Republican
believe,4,Republican
another,4,Republican
zero,4,Republican
work,4,Republican
deep,4,Republican
account,4,Republican
even,4,Republican
liberal,4,Republican
come,4,Republican
maybe,4,Republican
campaign,3,Both
would,3,Both
lost,2,Both
working,2,Both
think,2,Both
poll,2,Both
well,2,Both
care,2,Both
people,2,Both
child,2,Both
back,2,Both
hide,2,Both
mean,2,Both
mourn,2,Both
suppo,2,Both
spent,2,Both
major,2,Both
much,2,Both
want,2,Both
america,2,Both
election,2,Both
month,2,Both
everything,2,Both
limit,1,Both
bullshit,1,Both
minor,1,Both
saying,1,Both
failure,1,Both
able,1,Both
never,1,Both
thing,1,Both
told,1,Both
course,1,Both
change,1,Both
losing,1,Both
death,1,Both
ignoring,1,Both
term,1,Both
life,1,Both
whether,1,Both
always,1,Both
flood,1,Both
grandchild,1,Both
every,1,Both
private,1,Both
hire,1,Both
money,1,Both
taxpayer,1,Both
using,1,Both
bill barr,1,Both
hitting,1,Both
stopped,1,Both
scary,1,Both
surely,1,Both
mail,1,Both
receiving,1,Both
medicare,1,Both
social security,1,Both
underestimating,1,Both
place,1,Both
precious,1,Both
tsunami,1,Both
week…,1,Both
vote,1,Both
larger,1,Both
suggesting,1,Both
deutsche bank,1,Both
subpoena,1,Both
prosecutor,1,Both
york,1,Both
breaking news,1,Both
🏳️‍🌈,1,Both
past,1,Both
mainstream,1,Both
right,1,Both
lgbt,1,Both
chip…,1,Both
stop,1,Both
turn,1,Both
clear,1,Both
criminal,1,Both
probe,1,Both
his…,1,Both
breaking,1,Both
adviser,1,Both
behind,1,Both
privately,1,Both
conceding,1,Both
away,1,Both
four,1,Both
followed,1,Both
remember,1,Both
blue,1,Both
scared,1,Both
impeachment,1,Both
probably,1,Both
rejected,1,Both
insider,1,Both
exclusive,1,Both
mercenary,1,Both
people,121,None
like,108,None
american,107,None
want,102,None
would,95,None
suppo,89,None
america,87,None
think,84,None
democrat,78,None
time,75,None
know,70,None
vote,69,None
need,65,None
said,64,None
right,64,None
year,63,None
say,63,None
never,62,None
going,60,None
make,58,None
school,56,None
thing,54,None
breaking,53,None
campaign,53,None
many,53,None
republican,52,None
case,51,None
obama,51,None
country,51,None
election,47,None
still,46,None
back,46,None
even,46,None
much,43,None
today,43,None
world,43,None
medium,43,None
repo,42,None
city,42,None
good,42,None
help,41,None
coronavirus,41,None
black,40,None
great,40,None
news,40,None
take,40,None
racist,38,None
million,37,None
could,36,None
keep,36,None
russia,35,None
first,34,None
call,34,None
administration,34,None
stop,33,None
money,33,None
every,32,None
state,32,None
voting,32,None
trying,32,None
2020,31,None
voter,31,None
....,31,None
well,31,None
really,31,None
life,31,None
please,30,None
nothing,30,None
saying,29,None
give,29,None
pandemic,29,None
look,29,None
must,29,None
matter,28,None
woman,28,None
anything,28,None
police,28,None
bounty,28,None
care,28,None
putin,28,None
tweet,28,None
land,27,None
covid-19,27,None
made,27,None
nation,27,None
ever,27,None
thank,26,None
tell,26,None
called,26,None
history,26,None
child,26,None
united state,26,None
covid,26,None
day,25,None
national,25,None
also,25,None
reason,25,None
work,25,None
fauci,25,None
fact,25,None
